,Year,Round,Region Number,Region Name,Seed,Score,Team,Team.1,Score.1,Seed.1,Pointdiff,Winner,Champs,MM19,,Seed,Matchup,Champs
99,1986,2,2,West,1,65,St Johns,Auburn,81,8,16,2,0,Yes (2),,1,8,0
100,1986,2,2,West,2,82,Louisville,Bradley,68,7,14,1,0,Yes (1),,2,7,0
101,1986,2,2,West,3,77,North Carolina,UAB,59,6,18,1,0,Yes (1),,3,6,0
102,1986,2,2,West,4,70,UNLV,Maryland,64,5,6,1,0,Yes (2),,4,5,0
103,1986,2,3,East,1,89,Duke,Old Dominion,61,8,28,1,0,Yes (1),,1,8,0
104,1986,2,3,East,2,85,Syracuse,Navy,97,7,12,2,0,Yes (1),,2,7,0
105,1986,2,3,East,14,75,Cleveland St,St Josephs,69,6,6,1,0,No,,14,6,0
106,1986,2,3,East,4,69,Oklahoma,DePaul,74,12,5,2,0,Yes (1),,4,12,0
107,1986,2,4,Midwest,1,65,Kansas,Temple,43,9,22,1,0,Yes (1),,1,9,0
108,1986,2,4,Midwest,2,69,Michigan,Iowa St,72,7,3,2,0,Yes (1),,2,7,0
109,1986,2,4,Midwest,14,66,Arkansas Little Rock,NC State,80,6,14,2,0,No,,14,6,0
110,1986,2,4,Midwest,4,68,Georgetown,Michigan St,80,5,12,2,0,Yes (2),,4,5,0
111,1986,3,1,Southeast,1,68,Kentucky,Alabama,63,5,5,1,0,Yes (1),,1,5,0
112,1986,3,1,Southeast,2,64,Georgia Tech,LSU,70,11,6,2,0,Yes (2),,2,11,0
113,1986,3,2,West,8,70,Auburn,UNLV,63,4,7,1,0,Yes (1),,8,4,0
114,1986,3,2,West,2,94,Louisville,North Carolina,79,3,15,1,0,Yes (1),,2,3,0
115,1986,3,3,East,1,74,Duke,DePaul,67,12,7,1,0,Yes (1),,1,12,0
116,1986,3,3,East,7,71,Navy,Cleveland St,70,14,1,1,0,No,,7,14,0
117,1986,3,4,Midwest,1,96,Kansas,Michigan St,86,5,10,1,0,Yes (1),,1,5,0
118,1986,3,4,Midwest,7,66,Iowa St,NC State,70,6,4,2,0,Yes (1),,7,6,0
119,1986,4,1,Southeast,1,57,Kentucky,LSU,59,11,2,2,0,Yes (1),,1,11,0
120,1986,4,2,West,8,76,Auburn,Louisville,84,2,8,2,0,Yes (1),,8,2,0
121,1986,4,3,East,1,71,Duke,Navy,50,7,21,1,0,Yes (1),,1,7,0
122,1986,4,4,Midwest,1,75,Kansas,NC State,67,6,8,1,0,Yes (1),,1,6,0
123,1986,5,1,Final Four,11,77,LSU,Louisville,88,2,11,2,0,Yes (1),,11,2,0
124,1986,5,2,Final Four,1,71,Duke,Kansas,67,1,4,1,0,Yes (1),,1,1,0
125,1986,6,1,Championship,2,72,Louisville,Duke,69,1,3,4,2,Yes (1),,2,1,2
